['1.0752688172043', '1.0989010989011', '1.21951219512195', '1.08695652173913', '1.01010101010101', '0.4739336492891', '0.224719101123595']
['0.819672131147541', '0.943396226415094', '1.13636363636364', '1.0989010989011', '1.44927536231884', '5', '2.38095238095238']
['1.25', '1.38888888888889', '1.40845070422535', '0.934579439252336', '0.72463768115942', '0.306748466257669', '0.213675213675214']
['1.01010101010101', '1.05263157894737', '1.04166666666667', '1.01010101010101', '1.19047619047619', '5.26315789473684', '3.2258064516129']
['1.05263157894737', '1.0989010989011', '1.35135135135135', '1.78571428571429', '1.92307692307692', '12.5', '10']
['0.925925925925926', '1.04166666666667', '1.01010101010101', '1.0752688172043', '1.23456790123457', '6.66666666666667', '10']
['0.980392156862745', '0.934579439252336', '1.28205128205128', '1.35135135135135', '1.2987012987013', '5.88235294117647', '2.38095238095238']
['1.05263157894737', '1.23456790123457', '1.40845070422535', '1.38888888888889', '1.2987012987013', '5', '2.77777777777778']
['1.03092783505155', '1.01010101010101', '1.31578947368421', '0.892857142857143', '0.826446280991736', '0.462962962962963', '0.183823529411765']
['1.0752688172043', '1.11111111111111', '1.0752688172043', '1.04166666666667', '1.03092783505155', '0.657894736842105', '0.194174757281553']
['1.25', '1.08695652173913', '1.06382978723404', '0.78740157480315', '0.840336134453782', '0.319488817891374', '0.171232876712329']
['1.14942528735632', '1.12359550561798', '1.21951219512195', '0.869565217391304', '0.869565217391304', '0.29673590504451', '0.12531328320802']
['0.699300699300699', '1.05263157894737', '1', '0.862068965517241', '0.689655172413793', '3.84615384615385', '5']
['0.952380952380952', '1.04166666666667', '1.49253731343284', '1.33333333333333', '1.01010101010101', '6.66666666666667', '5.26315789473684']
['0.680272108843537', '0.606060606060606', '0.961538461538461', '0.531914893617021', '0.591715976331361', '1.20481927710843', '4.76190476190476']
['1.05263157894737', '1', '1.61290322580645', '1.42857142857143', '1.11111111111111', '3.2258064516129', '5.55555555555556']
['0.819672131147541', '1.08695652173913', '1.40845070422535', '1.78571428571429', '1.40845070422535', '6.25', '7.14285714285714']
